src/api/AiApi.ts(36,34): error TS6133: 'slice' is declared but its value is never read.
src/components/A.tsx(1,17): error TS6133: 'useEffect' is declared but its value is never read.
src/components/A.tsx(3,1): error TS6133: 'SRASMTree' is declared but its value is never read.
src/components/A.tsx(8,11): error TS2339: Property 'state' does not exist on type '{ state: { number: number | null; j: number | null; } | null; setState: (payload: Updater) => void; } | undefined'.
src/components/EnhancedStateViewer.tsx(9,3): error TS6133: 'Search' is declared but its value is never read.
src/components/EnhancedStateViewer.tsx(237,3): error TS6133: 'title' is declared but its value is never read.
src/components/EnhancedStateViewer.tsx(238,3): error TS6133: 'description' is declared but its value is never read.
src/components/EnhancedStateViewer.tsx(287,44): error TS2322: Type '{ data: any; expandAll: boolean; }' is not assignable to type 'IntrinsicAttributes & TreeExplorerProps'.
  Property 'expandAll' does not exist on type 'IntrinsicAttributes & TreeExplorerProps'.
src/components/SRASMTreeViewer.tsx(93,3): error TS6133: 'base' is declared but its value is never read.
src/components/UserUpdater.tsx(70,11): error TS2339: Property 'setState' does not exist on type '{ state: { number: number | null; j: number | null; } | null; setState: (payload: Updater) => void; } | undefined'.
src/components/UserUpdater.tsx(70,21): error TS2339: Property 'state' does not exist on type '{ state: { number: number | null; j: number | null; } | null; setState: (payload: Updater) => void; } | undefined'.
src/components/UserUpdater.tsx(70,21): error TS6133: 'state' is declared but its value is never read.
src/components/UserUpdater.tsx(73,15): error TS7006: Parameter 'prev' implicitly has an 'any' type.
src/components/UserUpdater.tsx(89,10): error TS6133: 's' is declared but its value is never read.
src/components/UserUpdater.tsx(95,9): error TS6133: 'globalState' is declared but its value is never read.
src/pages/Home.tsx(2,1): error TS6133: 'Link' is declared but its value is never read.
